FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
29_215287490	29_215287490	-0.1660985	0.1374592	0.04429276	-0.04126687	0.01392529	0.003947977	-0.0003822412	-0.03142841	-0.01485781	-0.00455977
30_30_Leiden	30_30_Leiden	-0.1556335	0.1305142	0.04356574	-0.04267046	0.02813048	0.001785658	0.0009181101	-0.02225139	-0.008852068	-0.004986009
30_215294480	30_215294480	-0.165726	0.139704	0.04215784	-0.04569237	0.01150742	0.004380663	-0.002138342	-0.02096929	-0.01010922	-0.006072767
31_31_Leiden	31_31_Leiden	-0.1520487	0.1230016	0.04816818	-0.04522917	0.01833173	0.003386493	-0.0009452846	-0.02802125	-0.008932133	-0.004179207
31_215298240	31_215298240	-0.1631807	0.1401223	0.04173359	-0.04087048	0.01425826	0.005154552	-0.0002904184	-0.02579713	-0.009712167	-0.00894205
32_32_Leiden	32_32_Leiden	-0.145653	0.1185674	0.04096555	-0.04001324	0.01723193	0.003741071	-0.002119557	-0.02285554	-0.009041945	-0.005333603
32_215297990	32_215297990	-0.1662365	0.1381556	0.0438574	-0.04172009	0.01760601	0.004216493	-0.0007131666	-0.0289685	-0.0151063	-0.007491389
33_33_Leiden	33_33_Leiden	-0.147132	0.1227091	0.04225408	-0.03885087	0.01281655	0.0011995	-0.001120531	-0.01757653	-0.00591284	-0.005401804
33_215292240	33_215292240	-0.1661933	0.1392924	0.03973367	-0.04085243	0.0146491	0.004988043	-8.030321e-05	-0.02991194	-0.01065846	-0.004711038
34_34_Leiden	34_34_Leiden	-0.147807	0.1214223	0.04113065	-0.04027358	0.0161442	0.001849428	-0.0006670902	-0.01797812	-0.005574715	-0.00490944
34_1153944726	34_1153944726	-0.1535277	0.1270804	0.03741796	-0.04069882	0.01520814	-0.001093236	6.028437e-05	-0.01077547	-0.005727607	-0.005357476
35_35_Leiden	35_35_Leiden	-0.1533377	0.1296281	0.04309037	-0.04078582	0.02609628	-0.0002981426	-0.001465183	-0.03092022	-0.01319044	-0.008589276
35_1085418072	35_1085418072	-0.1551119	0.1273978	0.04270938	-0.04370929	0.003207346	0.001029817	0.0003131503	-0.00953694	-0.002638015	0.0002387832
36_36_Leiden	36_36_Leiden	-0.1506998	0.1247038	0.04362442	-0.04031979	0.02272955	0.001094789	0.001381884	-0.02505318	-0.008136736	-0.005693093
36_1150149212	36_1150149212	-0.1576541	0.1255147	0.03961053	-0.04227215	0.03967975	0.005964614	5.086373e-06	-0.00990426	-0.004795803	-0.002316076
37_1125322107	37_1125322107	-0.1542697	0.1288022	0.04144895	-0.04190017	0.0001721362	-0.0002588884	0.0004565381	-0.01133269	-0.004971005	-0.0007447952
38_38_Leiden	38_38_Leiden	-0.1462162	0.1197803	0.04301255	-0.04321767	0.01943138	0.005556913	-0.001638266	-0.02431412	-0.006676239	-0.006121706
38_EA4110	38_EA4110	-0.1635605	0.1422464	0.04265106	-0.04653964	0.01168991	0.005040359	-0.0006581432	-0.03015687	-0.01452309	-0.003331755
39_39_Leiden	39_39_Leiden	-0.1511746	0.1279292	0.04914374	-0.0430181	0.02686836	0.001977976	-0.0003341491	-0.02778075	-0.01479201	-0.008083626
39_985	39_985	-0.1660125	0.1383752	0.04794548	-0.04796486	0.02240557	0.003350347	-0.0006305011	-0.02610565	-0.01147395	-0.008483545
40_40_Leiden	40_40_Leiden	-0.1483838	0.1244666	0.03948247	-0.03954815	0.02139068	0.002702268	-0.00173762	-0.02220382	-0.009891109	-0.001722604
40_ARC692	40_ARC692	-0.06960658	-0.09514642	0.1194487	0.2576713	0.01835755	0.006815917	0.001835312	-0.008824111	-0.002906306	-0.00369237
41_41_Leiden	41_41_Leiden	-0.1512786	0.1212059	0.03966056	-0.03670221	0.01732545	-0.0003840455	-0.0003704683	-0.01931459	-0.008224132	-0.005765468
