FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
43_43_Leiden	43_43_Leiden	0.02260111	0.2336949	0.009346799	-0.02930108	-0.01084586	-0.01089697	0.02207003	0.03455667	-0.003919253	-0.006239844
43_745	43_745	0.02774064	0.2297389	0.007862623	-0.0267169	-0.01589717	-0.01197514	0.02296272	0.0335763	-0.006469838	-0.01340217
44_44_Leiden	44_44_Leiden	0.02624908	0.2268303	0.008168761	-0.02780828	-0.01223199	-0.01051233	0.02162303	0.03385311	-0.01087286	-0.01119271
44_841	44_841	0.02099645	0.2317982	0.006944699	-0.02944892	-0.007854516	-0.01169007	0.01857186	0.03606107	-0.006047791	-0.009921597
45_45_Leiden	45_45_Leiden	0.02541656	0.2246819	0.004914076	-0.02883203	-0.008850409	-0.0099064	0.02190558	0.03210687	-0.00291204	-0.01288197
45_457	45_457	0.0258834	0.2308147	0.008111239	-0.02762978	-0.01197419	-0.01414202	0.01705241	0.0403915	-0.006889857	-0.007767151
46_46_Leiden	46_46_Leiden	0.02404197	0.2361542	0.005560379	-0.02593158	-0.01235575	-0.01295072	0.02264877	0.03693842	-0.005913329	-0.01394406
46_649	46_649	0.02552199	0.2334445	0.01140094	-0.02710575	-0.01019523	-0.01136418	0.01984763	0.03382962	-0.007964719	-0.01115648
47_47_Leiden	47_47_Leiden	0.02532992	0.223366	0.006630447	-0.02698003	-0.007676079	-0.01193916	0.01936136	0.03388197	-0.007432238	-0.01188636
47_361	47_361	0.02881022	0.2359909	0.009510968	-0.02945614	-0.01195974	-0.01262078	0.0203995	0.03932519	-0.006409898	-0.01069995
48_48_Leiden	48_48_Leiden	0.02299591	0.2282524	0.0001418052	-0.02809449	-0.01142503	-0.01036343	0.01992351	0.03496145	-0.008805969	-0.01745148
48_73	48_73	0.02750182	0.2337393	0.01073735	-0.03005334	-0.00581858	-0.01217816	0.02310385	0.03383447	-0.007177147	-0.00762785
49_49_Leiden	49_49_Leiden	0.02062361	0.2311935	0.005370243	-0.02407803	-0.01034903	-0.009794085	0.02177157	0.03049919	-0.006480244	-0.007121538
49_169	49_169	0.02477044	0.2268925	0.00746034	-0.02525644	-0.01328169	-0.0123302	0.02140379	0.03618549	-0.007614253	-0.0128802
50_50_Leiden	50_50_Leiden	0.0259553	0.2338768	0.004534655	-0.02869396	-0.007838715	-0.01166496	0.02182524	0.036638	-0.008868079	-0.003812475
50_265	50_265	0.02578659	0.2332931	0.007771523	-0.02581579	-0.00939888	-0.006428303	0.01972725	0.03630954	-0.007264258	-0.00403242
51_51_Leiden	51_51_Leiden	0.0229419	0.2302765	0.00590845	-0.02738851	-0.01149827	-0.0136976	0.02144852	0.03348169	-0.00774203	-0.008269546
51_215294060	51_215294060	0.02704571	0.2292123	0.002512466	-0.02534173	-0.01042507	-0.01521507	0.01829048	0.0325726	-0.01319071	-0.01208446
52_52_Leiden	52_52_Leiden	0.02638374	0.2252319	0.008444964	-0.02409523	-0.01063876	-0.01208926	0.02005689	0.03089325	-0.005921371	-0.01449509
53_53_Leiden	53_53_Leiden	0.02358196	0.2281355	0.006691108	-0.03048993	-0.01029799	-0.01196201	0.02212715	0.03432165	-0.006334563	-0.01137609
53_215297820	53_215297820	0.02285661	0.2346346	0.007983771	-0.03066743	-0.01363524	-0.01505333	0.0197717	0.03022057	-0.01018388	-0.008245065
54_54_Leiden	54_54_Leiden	0.02315478	0.2275892	0.004750439	-0.02953086	-0.005542563	-0.009575073	0.01661442	0.03231181	-0.006205557	-0.009880469
54_215287220	54_215287220	0.02587518	0.2299313	0.004928065	-0.02423453	-0.005820118	-0.01382577	0.01854743	0.02873233	-0.005905937	-0.01344353
55_55_Leiden	55_55_Leiden	0.02659358	0.2238813	0.01246319	-0.02351343	-0.01070342	-0.010759	0.02289898	0.03123236	-0.007587012	-0.01147484
55_215288630	55_215288630	0.02652692	0.2345927	0.0115921	-0.02620831	-0.001688224	-0.0119542	0.02257109	0.03478383	-0.006532138	-0.01105816
56_56_Leiden	56_56_Leiden	0.02701469	0.2305004	0.009762909	-0.02331178	-0.008668842	-0.008807297	0.02423729	0.03161717	-0.01058098	-0.01206625
56_215288030	56_215288030	0.02687577	0.2326268	0.01206855	-0.02839791	-0.009794045	-0.01399229	0.02154637	0.03103964	-0.01011558	-0.00842667
57_57_Leiden	57_57_Leiden	0.02667685	0.2311274	0.008482636	-0.02577377	-0.01106088	-0.009886018	0.02338899	0.03247608	-0.009354527	-0.00896589
57_1095885505	57_1095885505	0.02419579	0.2344774	0.008899619	-0.02453514	-0.008768982	-0.009149524	0.0218824	0.0318382	-0.01083885	-0.01226669
58_58_Leiden	58_58_Leiden	0.02725645	0.2289949	0.009659414	-0.02397102	-0.008988544	-0.01075289	0.02063606	0.03334059	-0.01245075	-0.009708784
